eeacellcode	T	Sobs	Q1	Q2	U	C1_hat	C1_lo	C1_hi	C1_width	C0_hat	C0_lo	C0_hi	C0_width	reliable_complete
5kmE3940N3095	7719	2253	770	315	59565	0.9870743157678542	0.9923273780181967	0.9941302067522642	0.001802828734067452	0.7053874844791638	0.8338431409275914	0.9084984323323482	0.0746552914047568	True
5kmE3955N3100	6033	2723	808	358	51142	0.9842031731811427	0.9899606081040012	0.9925812084687025	0.002620600364701242	0.7491739091835655	0.8571386852047564	0.9218052305216132	0.06466654531685678	True
5kmE3950N3100	7263	2736	898	350	73277	0.9877464467954848	0.9926068216022569	0.9946100973107335	0.0020032757084765818	0.7037313784912733	0.8325734951859979	0.9167134150328209	0.08413991984682301	True
5kmE3960N3100	5487	2609	838	340	44140	0.9810177601618941	0.9881103791034028	0.9916673522744635	0.003556973171060629	0.7164583617987993	0.8313028576927283	0.9169636407680464	0.0856607830753181	True
5kmE3940N3100	5447	2382	843	321	37694	0.9776388249642749	0.9861271419000273	0.9903861267530019	0.004258984852974601	0.6827705959329584	0.819151182670094	0.912571313597538	0.09342013092744395	True
5kmE3965N3100	4806	1635	557	242	25853	0.9784590070860396	0.9857347162139515	0.9907864877659507	0.005051771551999207	0.7184043924251811	0.812236478793671	0.919531542745257	0.10729506395158595	True
5kmE3945N3100	6953	2414	813	317	51957	0.9843542003300657	0.9906835953787424	0.9929887920182696	0.0023051966395272183	0.6984169774771529	0.8369117220666041	0.9063702479760413	0.06945852590943713	True
5kmE3950N3105	6308	2435	798	299	46236	0.9827427719530313	0.9892954122663897	0.992302069442742	0.00300665717635229	0.6957697850086109	0.8314367251222347	0.9072837608294683	0.07584703570723361	True
5kmE3945N3105	5588	1721	590	246	28214	0.9790915165672953	0.9870327510294993	0.991093856236321	0.00406110520682168	0.7086989198762449	0.8184073211942348	0.9118472952107721	0.09343997401653736	True
5kmE3955N3105	6313	2906	889	361	60240	0.985244262459862	0.9911716398063268	0.9933075496971769	0.0021359098908501073	0.7264175459366289	0.8552914518707968	0.9164504300441556	0.0611589781733588	True
5kmE3960N3105	6264	2285	772	306	48885	0.9842098333718343	0.9900459208381385	0.9932487556842093	0.0032028348460708678	0.7012053303653851	0.8322605455324008	0.9176555969063898	0.08539505137398895	True
5kmE3940N3105	5057	2174	842	305	28740	0.9707070505027524	0.9823944883631122	0.9866842316237905	0.004289743260678325	0.65167743842375	0.8044942920368939	0.885627261961397	0.08113296992450303	True
5kmE3965N3105	6643	2003	716	268	58894	0.9878439346875819	0.9928488762317655	0.9946804479541568	0.0018315717223912342	0.6768483896683456	0.8266131149435555	0.9081568250648269	0.08154371012127137	True
5kmE3940N3110	6791	2198	792	272	44375	0.9821539179654426	0.9891888619296929	0.9924501975722102	0.0032613356425172935	0.6559453265831767	0.804372733110896	0.9155275067257648	0.11115477361486881	True
5kmE3970N3105	6265	2698	823	398	51681	0.9840778439994033	0.9898745969019973	0.9922689332824957	0.002394336380498352	0.7602612710495213	0.8423034282591388	0.9148144369858984	0.07251100872675953	True
5kmE3975N3105	7197	2678	781	331	61373	0.9872760331858964	0.9921605315558166	0.9938772254395798	0.0017166938837631651	0.7440411663542577	0.8611744446276479	0.9186473146724805	0.05747287004483259	True
5kmE3990N3105	9824	3049	1000	370	110572	0.9909568003448116	0.9945741977694507	0.9959880059898365	0.001413808220385837	0.6929208765506587	0.8409633340923713	0.9089458088934291	0.06798247480105779	True
5kmE3985N3110	4425	2039	755	261	17773	0.9575264712951941	0.9752328180486818	0.9818188275880926	0.006586009539410798	0.6512805734325017	0.8232784270896829	0.9090608560938516	0.08578242900416866	True
5kmE3990N3110	6369	2786	979	385	49353	0.9801657630164874	0.9874826284313466	0.9911987989682917	0.0037161705369450626	0.6912236932507565	0.8175373641240383	0.9119064222018021	0.09436905807776375	True
5kmE3980N3110	3679	1616	618	208	15639	0.9604906377806715	0.97639600875233	0.9834043864164159	0.0070083776640859075	0.6377679408688748	0.8028731305155042	0.9027137904388822	0.09984065992337798	True
5kmE3995N3110	5453	3059	997	384	32655	0.969473000944336	0.9815637436040185	0.9863395541309976	0.004775810526979063	0.7027264500289502	0.840858091833507	0.9180264901284048	0.07716839829489774	True
5kmE3975N3110	4870	2193	767	317	23279	0.9670574418763906	0.9784122278305161	0.9859400465884537	0.007527818757937621	0.7027246786477778	0.8099288028709115	0.9195205021748833	0.10959169930397183	True
5kmE3970N3110	6402	2901	996	353	59390	0.9832313568454928	0.9899627121329325	0.9926127462188291	0.002650034085896591	0.673726382247032	0.8317245784536517	0.9073612941579189	0.07563671570426722	True
5kmE4000N3110	4328	2587	852	355	27765	0.9693197930623703	0.9808063021629069	0.9863822027627216	0.00557590059981472	0.7167865367966609	0.8358032585939135	0.9117314908117008	0.07592823221778733	True
5kmE3925N3105	8094	2296	913	348	50794	0.9820271290338835	0.9893199727368713	0.9919908682282853	0.0026708954914139715	0.6572189269032604	0.803877238592786	0.8903781312712526	0.08650089267846661	True
5kmE3920N3105	8849	2907	1214	429	45487	0.9733131875771481	0.9849843514704487	0.9882103822924971	0.00322603082204842	0.628606208870977	0.8111198473935661	0.8790550790100176	0.06793523161645143	True
